Indikator_ID;Indikator_namn;Aspekt;Tema;Del;Omvand_skala;Log;Sortering;Tillagd_datum
N05401;Valdeltagande i senaste kommunalvalet, andel (%);Demokratisk delaktighet;T1 - Medborgarengagemang och demokratisk delaktighet;Livskvalitet;0;0;101;2026-03-25T00:00:00Z
N05402;Valdeltagande i senaste regionvalet, andel (%);Demokratisk delaktighet;T1 - Medborgarengagemang och demokratisk delaktighet;Livskvalitet;0;0;101;2026-03-25T00:00:00Z
N05816;Kvinnor på ordförandeposter i kommunen, andel (%);Demokratisk delaktighet;T1 - Medborgarengagemang och demokratisk delaktighet;Livskvalitet;0;0;101;2026-03-25T00:00:00Z
N05831;Valdeltagande i det valdistrikt som hade lägst andel röstande i senaste kommunvalet, andel (%);Demokratisk delaktighet;T1 - Medborgarengagemang och demokratisk delaktighet;Livskvalitet;0;0;101;2026-03-25T00:00:00Z
N65816;Kvinnor på ordförandeposter i regionen, andel (%);Demokratisk delaktighet;T1 - Medborgarengagemang och demokratisk delaktighet;Livskvalitet;0;0;101;2026-03-25T00:00:00Z
N65831;Valdeltagande i det valdistrikt som hade lägst andel röstande i senaste regionvalet, andel (%);Demokratisk delaktighet;T1 - Medborgarengagemang och demokratisk delaktighet;Livskvalitet;0;0;101;2026-03-25T00:00:00Z
U09804;Idrottsföreningar med LOK-stöd, antal/10 000 inv;Engagemang i civilsamhället;T1 - Medborgarengagemang och demokratisk delaktighet;Livskvalitet;0;0;101;2026-03-25T00:00:00Z
U01420;Invånare 16-84 år som avstår från att gå ut ensam, andel (%);Upplevd trygghet;T2 - Trygghet och säkerhet;Livskvalitet;1;0;102;2026-03-25T00:00:00Z
N15643;"Elever i åk 8: Känner du dig trygg i skolan? Andel som svarat ""Helt och hållet"" eller ""Till stor del"", (%)";Upplevd trygghet;T2 - Trygghet och säkerhet;Livskvalitet;0;0;102;2026-03-25T00:00:00Z
N17673;"Gymnasieelever i år 2: Känner du dig trygg i skolan? Andel som har svarat ""Helt och hållet"" eller ""Till stor del"", (%)";Upplevd trygghet;T2 - Trygghet och säkerhet;Livskvalitet;0;0;102;2026-03-25T00:00:00Z
N85051;Sjöar med god ekologisk status, andel (%);Vatten;T3 - Miljökvalitet;Livskvalitet;0;0;103;2026-03-25T00:00:00Z
N85052;Vattendrag med god ekologisk status, andel (%);Vatten;T3 - Miljökvalitet;Livskvalitet;0;0;103;2026-03-25T00:00:00Z
N85053;Grundvattenförekomster med god kemisk och kvantitativ status, andel (%);Vatten;T3 - Miljökvalitet;Livskvalitet;0;0;103;2026-03-25T00:00:00Z
N01456;Invånare 16-84 med störd sömn av trafikbuller, andel (%);Buller;T3 - Miljökvalitet;Livskvalitet;1;0;103;2026-03-25T00:00:00Z
N07418;Befolkning i kollektivtrafiknära läge, andel (%);Närhet till tjänster/service;T4 - Tillgänglighet till tjänster;Livskvalitet;0;0;104;2026-03-25T00:00:00Z
N07530;Invånare med tillgång till dagligvarubutik inom 2 km, andel (%);Närhet till tjänster/service;T4 - Tillgänglighet till tjänster;Livskvalitet;0;0;104;2026-03-25T00:00:00Z
N07531;Invånare 0-16 år med tillgång till grundskola inom 2 km, andel (%);Närhet till tjänster/service;T4 - Tillgänglighet till tjänster;Livskvalitet;0;0;104;2026-03-25T00:00:00Z
N07900;Tillgång till fast bredband om minst 100 Mbit/s, andel (%);Närhet till tjänster/service;T4 - Tillgänglighet till tjänster;Livskvalitet;0;0;104;2026-03-25T00:00:00Z
N00905;Mediannettoinkomst, kr/inv 20+;Levnadsstandard;T5 - Inkomst och förmögenhet;Livskvalitet;0;1;105;2026-03-25T00:00:00Z
N00997;Ginikoefficient – hushållens disponibla inkomster, index;Levnadsstandard;T5 - Inkomst och förmögenhet;Livskvalitet;1;0;105;2026-03-25T00:00:00Z
N66077;Invånare, 0-19 år, med låg ekonomisk standard, andel (%);Levnadsstandard;T5 - Inkomst och förmögenhet;Livskvalitet;1;0;105;2026-03-25T00:00:00Z
U01803;Invånare 18-64 år med låg inkomst, andel (%);Levnadsstandard;T5 - Inkomst och förmögenhet;Livskvalitet;1;0;105;2026-03-25T00:00:00Z
U01407;Invånare 16-84 år som haft ekonomisk kris, andel (%);Upplevd levnadsstandard;T5 - Inkomst och förmögenhet;Livskvalitet;1;0;105;2026-03-25T00:00:00Z
