Lan_kod;Lan_kod_S;Lan_bokstav;Lan_Namn;SCB_lan_namn;Kolada_lan_namn
1;01;AB;Stockholms län;01 Stockholms län;Region Stockholm
3;03;C;Uppsala län;03 Uppsala län;Region Uppsala
4;04;D;Södermanlands län;04 Södermanlands län;Region Sörmland
5;05;E;Östergötlands län;05 Östergötlands län;Region Östergötland
6;06;F;Jönköpings län;06 Jönköpings län;Region Jönköpings län
7;07;G;Kronobergs län;07 Kronobergs län;Region Kronoberg
8;08;H;Kalmar län;08 Kalmar län;Region Kalmar
9;09;I;Gotlands län;09 Gotlands län;Region Gotland
10;10;J;Blekinge län;10 Blekinge län;Region Blekinge
12;12;M;Skåne län;12 Skåne län;Region Skåne
13;13;N;Hallands län;13 Hallands län;Region Halland
14;14;O;Västra Götalands län;14 Västra Götalands län;Västra Götalandsregionen
17;17;S;Värmlands län;17 Värmlands län;Region Värmland
18;18;T;Örebro län;18 Örebro län;Region Örebro län
19;19;U;Västmanlands län;19 Västmanlands län;Region Västmanland
20;20;W;Dalarnas län;20 Dalarnas län;Region Dalarna
21;21;X;Gävleborgs län;21 Gävleborgs län;Region Gävleborg
22;22;Y;Västernorrlands län;22 Västernorrlands län;Region Västernorrland
23;23;Z;Jämtlands län;23 Jämtlands län;Region Jämtland Härjedalen
24;24;AC;Västerbottens län;24 Västerbottens län;Region Västerbotten
25;25;BD;Norrbottens län;25 Norrbottens län;Region Norrbotten
